[2021-04-05 16:08:06,389][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 109/180 || Loss: 0.5652 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:05
[2021-04-05 16:08:06,611][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 110/180 || Loss: 0.5696 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:05
[2021-04-05 16:08:06,832][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 111/180 || Loss: 0.5420 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:05
[2021-04-05 16:08:07,057][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 112/180 || Loss: 0.6049 || LR: 0.00010000 || Batchtime: 0.0868 s || ETA: 0:00:05
[2021-04-05 16:08:07,279][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 113/180 || Loss: 0.5306 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:05
[2021-04-05 16:08:07,500][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 114/180 || Loss: 0.5202 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:05
[2021-04-05 16:08:07,722][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 115/180 || Loss: 0.5047 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:05
[2021-04-05 16:08:07,943][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 116/180 || Loss: 0.5562 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:05
[2021-04-05 16:08:08,166][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 117/180 || Loss: 0.5164 || LR: 0.00010000 || Batchtime: 0.0858 s || ETA: 0:00:05
[2021-04-05 16:08:08,387][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 118/180 || Loss: 0.5949 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:05
[2021-04-05 16:08:08,609][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 119/180 || Loss: 0.5136 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:05
[2021-04-05 16:08:08,831][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 120/180 || Loss: 0.5809 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:05
[2021-04-05 16:08:09,052][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 121/180 || Loss: 0.5468 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:05
[2021-04-05 16:08:09,274][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 122/180 || Loss: 0.5536 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:04
[2021-04-05 16:08:09,495][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 123/180 || Loss: 0.5210 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:04
[2021-04-05 16:08:09,716][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 124/180 || Loss: 0.5336 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:04
[2021-04-05 16:08:09,938][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 125/180 || Loss: 0.5353 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:04
[2021-04-05 16:08:10,159][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 126/180 || Loss: 0.5644 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:04
[2021-04-05 16:08:10,381][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 127/180 || Loss: 0.5355 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:04
[2021-04-05 16:08:10,602][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 128/180 || Loss: 0.5393 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:04
[2021-04-05 16:08:10,822][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 129/180 || Loss: 0.5472 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:04
[2021-04-05 16:08:11,044][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 130/180 || Loss: 0.5230 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:04
[2021-04-05 16:08:11,265][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 131/180 || Loss: 0.5405 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:04
[2021-04-05 16:08:11,487][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 132/180 || Loss: 0.6508 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:04
[2021-04-05 16:08:11,708][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 133/180 || Loss: 0.5583 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:03
[2021-04-05 16:08:11,931][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 134/180 || Loss: 0.5002 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:03
[2021-04-05 16:08:12,152][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 135/180 || Loss: 0.5315 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:03
[2021-04-05 16:08:12,372][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 136/180 || Loss: 0.5165 || LR: 0.00010000 || Batchtime: 0.0838 s || ETA: 0:00:03
[2021-04-05 16:08:12,595][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 137/180 || Loss: 0.5472 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:03
[2021-04-05 16:08:12,817][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 138/180 || Loss: 0.5023 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:03
[2021-04-05 16:08:13,039][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 139/180 || Loss: 0.5322 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:03
[2021-04-05 16:08:13,261][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 140/180 || Loss: 0.5231 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:03
[2021-04-05 16:08:13,481][model_main.py][line:146][INFO] Epoch:0/100  || Epochiter: 141/180 || Loss: 0.5210 || LR: 0.00010000 || Batchtime: 0.0848 s || ETA: 0:00:03
